CMAES_ACC gen=0 loss=0.8091882221 acc=0.2090009000 surr_mult=1.000 surr_corr=0.000
CMAES_ACC gen=1 loss=0.8089427680 acc=0.2089997135 surr_mult=0.800 surr_corr=0.003
CMAES_ACC gen=2 loss=0.8045877585 acc=0.2111250391 surr_mult=0.800 surr_corr=0.169
CMAES_ACC gen=3 loss=0.8005503219 acc=0.2153996370 surr_mult=0.960 surr_corr=0.240
CMAES_ACC gen=4 loss=0.7848464690 acc=0.2327424887 surr_mult=1.152 surr_corr=0.412
CMAES_ACC gen=5 loss=0.7848263701 acc=0.2327424887 surr_mult=1.382 surr_corr=0.415
CMAES_ACC gen=6 loss=0.7766560725 acc=0.2404559625 surr_mult=1.659 surr_corr=0.523
CMAES_ACC gen=7 loss=0.7664785001 acc=0.2482372891 surr_mult=1.991 surr_corr=0.560
CMAES_ACC gen=8 loss=0.7485989161 acc=0.2717020667 surr_mult=2.389 surr_corr=0.584
CMAES_ACC gen=9 loss=0.7392362720 acc=0.2817798618 surr_mult=2.867 surr_corr=0.539
CMAES_ACC gen=10 loss=0.7330922012 acc=0.2885189236 surr_mult=3.440 surr_corr=0.658
CMAES_ACC gen=11 loss=0.7330922012 acc=0.2885189236 surr_mult=4.128 surr_corr=0.638
CMAES_ACC gen=12 loss=0.7330922012 acc=0.2885189236 surr_mult=4.953 surr_corr=0.677
CMAES_ACC gen=13 loss=0.7330922012 acc=0.2885189236 surr_mult=5.944 surr_corr=0.474
CMAES_ACC gen=14 loss=0.7330922012 acc=0.2885189236 surr_mult=7.133 surr_corr=0.332
CMAES_ACC gen=15 loss=0.7330922012 acc=0.2885189236 surr_mult=8.559 surr_corr=0.232
CMAES_ACC gen=16 loss=0.7330922012 acc=0.2885189236 surr_mult=8.559 surr_corr=0.162
CMAES_ACC gen=17 loss=0.7330922012 acc=0.2885189236 surr_mult=8.559 surr_corr=0.114
CMAES_ACC gen=18 loss=0.7330922012 acc=0.2885189236 surr_mult=8.559 surr_corr=0.080
CMAES_ACC gen=19 loss=0.7330922012 acc=0.2885189236 surr_mult=6.848 surr_corr=0.056
CMAES_ACC gen=20 loss=0.7330922012 acc=0.2885189236 surr_mult=5.478 surr_corr=0.039
CMAES_ACC gen=21 loss=0.7330922012 acc=0.2885189236 surr_mult=4.382 surr_corr=0.027
CMAES_ACC gen=22 loss=0.7330922012 acc=0.2885189236 surr_mult=3.506 surr_corr=0.019
CMAES_ACC gen=23 loss=0.7330922012 acc=0.2885189236 surr_mult=2.805 surr_corr=0.013
CMAES_ACC gen=24 loss=0.7330922012 acc=0.2885189236 surr_mult=2.244 surr_corr=0.009
CMAES_ACC gen=25 loss=0.7330922012 acc=0.2885189236 surr_mult=1.795 surr_corr=0.007
CMAES_ACC gen=26 loss=0.7330922012 acc=0.2885189236 surr_mult=1.436 surr_corr=0.005
CMAES_ACC gen=27 loss=0.7330922012 acc=0.2885189236 surr_mult=1.149 surr_corr=0.003
CMAES_ACC gen=28 loss=0.7330922012 acc=0.2885189236 surr_mult=0.919 surr_corr=0.002
CMAES_ACC gen=29 loss=0.7330922012 acc=0.2885189236 surr_mult=0.735 surr_corr=0.002
CMAES_ACC gen=30 loss=0.7330922012 acc=0.2885189236 surr_mult=0.588 surr_corr=0.001
CMAES_ACC gen=31 loss=0.7330922012 acc=0.2885189236 surr_mult=0.471 surr_corr=0.001
CMAES_ACC gen=32 loss=0.7330922012 acc=0.2885189236 surr_mult=0.376 surr_corr=0.001
CMAES_ACC gen=33 loss=0.7330922012 acc=0.2885189236 surr_mult=0.301 surr_corr=0.000
CMAES_ACC gen=34 loss=0.7330922012 acc=0.2885189236 surr_mult=0.241 surr_corr=0.000
CMAES_ACC gen=35 loss=0.7330922012 acc=0.2885189236 surr_mult=0.193 surr_corr=0.000
CMAES_ACC gen=36 loss=0.7330922012 acc=0.2885189236 surr_mult=0.154 surr_corr=0.000
CMAES_ACC gen=37 loss=0.7330922012 acc=0.2885189236 surr_mult=0.123 surr_corr=0.000
CMAES_ACC gen=38 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=39 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=40 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
CMAES_ACC gen=41 loss=0.7330922012 acc=0.2885189236 surr_mult=0.100 surr_corr=0.000
